time ssintra ssinter shinter hhinter
20 5000 0 0 0 
21 4778 46 494 115 
22 4609 89 717 155 
23 4512 119 838 183 
24 4431 146 927 195 
25 4349 168 980 211 
26 4292 189 1043 226 
27 4233 207 1083 237 
28 4176 222 1119 246 
29 4132 241 1144 250 
30 4072 260 1171 258 
31 4022 270 1185 263 
32 3974 279 1197 266 
33 3929 295 1210 269 
34 3902 308 1221 275 
35 3879 324 1228 283 
36 3848 338 1233 289 
37 3823 351 1239 290 
38 3801 357 1247 290 
39 3780 366 1252 291 
40 3757 377 1254 292 
41 3730 390 1259 297 
42 3715 393 1261 302 
43 3693 405 1267 304 
44 3675 417 1270 307 
45 3654 423 1274 310 
46 3642 430 1275 312 
47 3630 434 1275 314 
48 3621 442 1276 316 
49 3611 451 1278 319 
50 3604 453 1281 319 
51 3595 458 1282 322 
52 3584 461 1283 323 
53 3576 466 1283 327 
54 3569 472 1284 327 
55 3562 474 1285 331 
56 3556 478 1286 337 
57 3551 482 1286 337 
58 3542 486 1286 339 
59 3535 487 1288 341 
60 3530 491 1291 342 
61 3525 494 1291 343 
62 3522 497 1291 343 
63 3516 501 1291 343 
64 3512 501 1291 345 
65 3510 505 1291 347 
66 3507 508 1292 349 
67 3497 509 1292 350 
68 3493 510 1292 350 
69 3491 511 1292 350 
70 3485 514 1293 350 
71 3481 516 1294 350 
72 3481 517 1294 351 
73 3478 518 1294 351 
74 3475 521 1294 351 
75 3471 524 1294 351 
76 3468 527 1295 353 
77 3465 530 1295 355 
78 3463 535 1295 355 
79 3460 538 1295 355 
80 3456 540 1295 357 
81 3453 541 1295 357 
82 3452 543 1295 359 
83 3450 546 1295 361 
84 3450 550 1295 362 
85 3449 554 1295 362 
86 3448 554 1295 362 
87 3447 557 1295 362 
88 3445 558 1295 362 
89 3443 560 1295 362 
90 3443 564 1295 362 
91 3441 565 1295 362 
92 3439 568 1295 365 
93 3438 568 1295 366 
94 3437 569 1295 368 
95 3436 570 1295 369 
96 3435 571 1295 370 
97 3433 571 1295 370 
98 3433 574 1295 370 
99 3433 574 1295 371 
100 3433 574 1295 371 
101 3433 575 1295 371 
102 3433 576 1295 372 
103 3433 576 1295 372 
104 3432 577 1295 372 
105 3430 579 1295 372 
106 3430 580 1295 372 
107 3430 581 1295 372 
108 3430 582 1295 372 
109 3430 583 1295 372 
110 3429 584 1295 372 
111 3428 588 1295 372 
112 3428 592 1295 373 
113 3428 592 1295 373 
114 3428 592 1295 373 
115 3427 592 1295 373 
116 3427 593 1295 373 
117 3427 593 1295 373 
118 3426 593 1295 373 
119 3426 593 1295 373 
120 3426 594 1295 374 
121 3426 594 1295 374 
122 3425 594 1295 374 
123 3425 596 1295 374 
124 3424 598 1295 374 
125 3424 598 1296 375 
126 3424 600 1296 375 
127 3424 600 1296 376 
128 3424 600 1296 376 
129 3423 604 1296 376 
130 3423 604 1296 376 
131 3423 605 1296 377 
132 3423 605 1296 377 
